bin,brand,type,level,bank,country
463277,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463278,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463279,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463280,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463281,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463282,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463283,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463284,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463285,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463286,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463287,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463288,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463289,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463290,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, NATIONAL ASSOCIATION",UNITED STATES
463291,VISA,CREDIT,PLATINUM,"ITAU UNIBANCO, S.A.",BRAZIL
463292,VISA,CREDIT,PLATINUM,"ITAU UNIBANCO HOLDING, S.A.",BRAZIL
463293,VISA,CREDIT,CLASSIC,"ITAU UNIBANCO HOLDING, S.A.",BRAZIL
463294,VISA,CREDIT,CLASSIC,"ITAU UNIBANCO HOLDING, S.A.",BRAZIL
463295,VISA,CREDIT,GOLD,"ITAU UNIBANCO HOLDING, S.A.",BRAZIL
